,number,value,datetime_start,datetime_complete,duration,params_C,params_M,params_N,params_P,params_S,state
157,157,38.0,2023-12-06 11:30:50.565638,2023-12-06 11:31:11.745827,0 days 00:00:21.180189,0.0,0.5,,50,roulette wheel,COMPLETE
158,158,37.2,2023-12-06 11:31:11.746028,2023-12-06 11:31:12.288005,0 days 00:00:00.541977,0.8,0.5,1.0,50,roulette wheel,COMPLETE
159,159,37.6,2023-12-06 11:31:12.288200,2023-12-06 11:31:31.841387,0 days 00:00:19.553187,0.0,0.01,,100,roulette wheel,COMPLETE
160,160,37.2,2023-12-06 11:31:31.841586,2023-12-06 11:31:32.271934,0 days 00:00:00.430348,0.5,0.01,2.0,20,random selection,COMPLETE
161,161,38.0,2023-12-06 11:31:32.272130,2023-12-06 11:31:39.344087,0 days 00:00:07.071957,0.0,0.0,,10,weighted choice,COMPLETE
162,162,37.6,2023-12-06 11:31:39.344275,2023-12-06 11:31:39.967671,0 days 00:00:00.623396,0.5,0.5,4.0,50,roulette wheel,COMPLETE
163,163,38.0,2023-12-06 11:31:39.967858,2023-12-06 11:31:40.471173,0 days 00:00:00.503315,0.5,0.33,2.0,100,roulette wheel,COMPLETE
164,164,38.0,2023-12-06 11:31:40.471362,2023-12-06 11:31:40.861139,0 days 00:00:00.389777,0.95,0.1,4.0,10,weighted choice,COMPLETE
165,165,37.6,2023-12-06 11:31:40.861336,2023-12-06 11:31:48.351619,0 days 00:00:07.490283,0.0,0.33,,20,roulette wheel,COMPLETE
166,166,38.8,2023-12-06 11:31:48.351814,2023-12-06 11:31:48.904659,0 days 00:00:00.552845,0.8,0.5,1.0,20,roulette wheel,COMPLETE
167,167,38.4,2023-12-06 11:31:48.904852,2023-12-06 11:31:49.256431,0 days 00:00:00.351579,0.6,0.1,1.0,50,roulette wheel,COMPLETE
168,168,36.8,2023-12-06 11:31:49.256634,2023-12-06 11:32:12.125606,0 days 00:00:22.868972,0.6,0.5,0.0,50,random selection,COMPLETE
169,169,39.6,2023-12-06 11:32:12.125814,2023-12-06 11:32:12.626402,0 days 00:00:00.500588,0.8,0.0,4.0,10,roulette wheel,COMPLETE
170,170,37.2,2023-12-06 11:32:12.626609,2023-12-06 11:32:31.926188,0 days 00:00:19.299579,0.0,0.01,,100,roulette wheel,COMPLETE
171,171,40.0,2023-12-06 11:32:31.926387,2023-12-06 11:32:32.658081,0 days 00:00:00.731694,0.6,0.0,2.0,10,weighted choice,COMPLETE
